wave (um), F062, F087, F106, F129, F146, F158, F184, F213
1.514,0,0,0,0.0006,2.8869,2.8869,0,0
1.515,0,0,0,0.0005,2.8878,2.8878,0,0
1.516,0,0,0,0.0004,2.8887,2.8887,0,0
1.517,0,0,0,0.0003,2.889,2.889,0,0
1.518,0,0,0,0.0002,2.8891,2.8891,0,0
1.519,0,0,0,0.0002,2.8892,2.8892,0,0
1.52,0,0,0,0.0002,2.8894,2.8894,0,0
1.521,0,0,0,0.0001,2.8895,2.8895,0,0
1.522,0,0,0,0.0001,2.8898,2.8898,0,0
1.523,0,0,0,0.0001,2.8907,2.8907,0,0
1.524,0,0,0,0.0001,2.8916,2.8916,0,0
1.525,0,0,0,0,2.892,2.892,0,0
1.526,0,0,0,0,2.892,2.892,0,0
1.527,0,0,0,0,2.8922,2.8922,0,0
1.528,0,0,0,0,2.8924,2.8924,0,0
1.529,0,0,0,0,2.8925,2.8925,0,0
1.53,0,0,0,0,2.8928,2.8928,0,0
1.531,0,0,0,0,2.8938,2.8938,0,0
1.532,0,0,0,0,2.8947,2.8947,0,0
1.533,0,0,0,0,2.8951,2.8951,0,0
1.534,0,0,0,0,2.8952,2.8952,0,0
1.535,0,0,0,0,2.8954,2.8954,0,0
1.536,0,0,0,0,2.8956,2.8956,0,0
1.537,0,0,0,0,2.8957,2.8957,0,0
1.538,0,0,0,0,2.8961,2.8961,0,0
1.539,0,0,0,0,2.897,2.897,0,0
1.54,0,0,0,0,2.898,2.898,0,0
1.541,0,0,0,0,2.8984,2.8984,0,0
1.542,0,0,0,0,2.8985,2.8985,0,0
1.543,0,0,0,0,2.8985,2.8985,0,0
1.544,0,0,0,0,2.8989,2.8989,0,0
1.545,0,0,0,0,2.8999,2.8999,0,0
1.546,0,0,0,0,2.9009,2.9009,0,0
1.547,0,0,0,0,2.9013,2.9013,0,0
1.548,0,0,0,0,2.9014,2.9014,0,0
1.549,0,0,0,0,2.9016,2.9016,0,0
1.55,0,0,0,0,2.9019,2.9019,0,0
1.551,0,0,0,0,2.9021,2.9021,0,0
1.552,0,0,0,0,2.9022,2.9022,0,0
1.553,0,0,0,0,2.9022,2.9022,0,0
1.554,0,0,0,0,2.9025,2.9025,0,0
1.555,0,0,0,0,2.9034,2.9034,0,0
1.556,0,0,0,0,2.9043,2.9043,0,0
1.557,0,0,0,0,2.9046,2.9046,0,0
1.558,0,0,0,0,2.9046,2.9046,0,0
1.559,0,0,0,0,2.9047,2.9047,0,0
1.56,0,0,0,0,2.9049,2.9049,0,0
1.561,0,0,0,0,2.9051,2.9051,0,0
1.562,0,0,0,0,2.9052,2.9052,0,0
1.563,0,0,0,0,2.9054,2.9054,0,0
1.564,0,0,0,0,2.9056,2.9056,0,0
1.565,0,0,0,0,2.9058,2.9058,0,0
1.566,0,0,0,0,2.9059,2.9059,0,0
1.567,0,0,0,0,2.9059,2.9059,0,0
1.568,0,0,0,0,2.9063,2.9063,0,0
1.569,0,0,0,0,2.9072,2.9072,0,0
1.57,0,0,0,0,2.9081,2.9081,0,0
1.571,0,0,0,0,2.9085,2.9085,0,0
1.572,0,0,0,0,2.9085,2.9085,0,0
1.573,0,0,0,0,2.9087,2.9087,0,0
1.574,0,0,0,0,2.909,2.909,0,0
1.575,0,0,0,0,2.9092,2.9092,0,0
1.576,0,0,0,0,2.9094,2.9094,0,0
1.577,0,0,0,0,2.9096,2.9096,0,0
1.578,0,0,0,0,2.9099,2.9099,0,0
1.579,0,0,0,0,2.9101,2.9101,0,0
1.58,0,0,0,0,2.9104,2.9104,0,0
1.581,0,0,0,0,2.9107,2.9107,0,0
1.582,0,0,0,0,2.9109,2.9109,0,0
1.583,0,0,0,0,2.9111,2.9111,0,0
1.584,0,0,0,0,2.9115,2.9115,0,0
1.585,0,0,0,0,2.9125,2.9125,0,0
1.586,0,0,0,0,2.9136,2.9136,0,0
1.587,0,0,0,0,2.9141,2.9141,0,0
1.588,0,0,0,0,2.9143,2.9143,0,0
1.589,0,0,0,0,2.9144,2.9144,0,0
1.59,0,0,0,0,2.915,2.915,0,0
1.591,0,0,0,0,2.9161,2.9161,0,0
1.592,0,0,0,0,2.9172,2.9172,0,0
1.593,0,0,0,0,2.9178,2.9178,0,0
1.594,0,0,0,0,2.918,2.918,0,0
1.595,0,0,0,0,2.9182,2.9182,0,0
1.596,0,0,0,0,2.9189,2.9189,0,0
1.597,0,0,0,0,2.9201,2.9201,0,0
1.598,0,0,0,0,2.9213,2.9213,0,0
1.599,0,0,0,0,2.9219,2.9219,0,0
1.6,0,0,0,0,2.9222,2.9222,0,0
1.601,0,0,0,0,2.9228,2.9228,0,0
1.602,0,0,0,0,2.9234,2.9234,0.0001,0
1.603,0,0,0,0,2.9239,2.9239,0.0001,0
1.604,0,0,0,0,2.9247,2.9247,0.0001,0
1.605,0,0,0,0,2.9261,2.9261,0.0001,0
1.606,0,0,0,0,2.9276,2.9276,0.0001,0
1.607,0,0,0,0,2.9284,2.9284,0.0002,0
1.608,0,0,0,0,2.929,2.929,0.0002,0
1.609,0,0,0,0,2.9296,2.9296,0.0002,0
1.61,0,0,0,0,2.9304,2.9304,0.0003,0
1.611,0,0,0,0,2.9312,2.9312,0.0004,0
1.612,0,0,0,0,2.9319,2.9319,0.0004,0
1.613,0,0,0,0,2.9327,2.9327,0.0005,0
1.614,0,0,0,0,2.9335,2.9335,0.0006,0
1.615,0,0,0,0,2.9342,2.9342,0.0008,0
1.616,0,0,0,0,2.9351,2.9351,0.0009,0
